"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","149,00","149,00","149,00","149,00","","3,47%"
"15/11/2022","144,00","144,00","144,00","144,00","0,02K","3,37%"
"14/11/2022","139,30","139,30","139,30","139,30","0,04K","-3,93%"
"11/11/2022","145,00","145,00","145,00","145,00","0,01K","3,72%"
"08/11/2022","139,80","139,80","139,80","139,80","0,14K","-3,92%"
"03/11/2022","145,50","145,50","145,50","145,50","0,03K","-3,00%"
"02/11/2022","150,00","150,00","150,00","150,00","0,01K","0,00%"
"29/09/2022","150,00","150,00","150,00","150,00","0,01K","-0,99%"
"27/09/2022","151,50","151,50","151,50","151,50","0,02K","-2,26%"
"19/09/2022","155,00","155,00","155,00","155,00","0,00K","2,99%"
"08/09/2022","150,50","150,50","150,50","150,50","0,00K","0,00%"
"26/08/2022","150,50","150,50","150,50","150,50","0,01K","2,38%"
"23/08/2022","147,00","147,00","147,00","147,00","0,01K","1,73%"
"19/08/2022","144,50","144,50","144,50","144,50","0,03K","3,96%"
"27/06/2022","139,00","139,00","139,00","139,00","0,01K","3,73%"
"22/06/2022","134,00","134,00","134,00","134,00","0,00K","0,00%"
"17/06/2022","134,00","134,00","134,00","134,00","0,00K","-3,70%"
"09/06/2022","139,15","139,15","139,15","139,15","0,03K","0,00%"
"26/05/2022","139,15","139,15","139,15","139,15","0,01K","3,07%"
"25/05/2022","135,00","135,00","135,00","135,00","0,05K","0,00%"
"24/05/2022","135,00","135,00","135,00","135,00","0,01K","0,00%"
"23/05/2022","135,00","135,00","135,00","135,00","0,04K","2,27%"
"18/05/2022","132,00","132,00","132,00","132,00","0,00K","-1,20%"
"17/05/2022","133,60","133,60","133,60","133,60","0,00K","-3,99%"
"16/05/2022","139,15","139,15","139,15","139,15","0,00K","-3,97%"
"10/05/2022","144,90","144,90","144,90","144,90","0,05K","0,00%"
"09/05/2022","144,90","144,90","144,90","144,90","0,13K","-2,00%"
"06/05/2022","147,85","147,85","147,85","147,85","0,00K","-3,99%"
"21/04/2022","154,00","154,00","154,00","154,00","0,00K","-0,65%"
"04/04/2022","155,00","155,00","155,00","155,00","0,02K","0,00%"
"01/04/2022","155,00","155,00","155,00","155,00","0,00K","-0,32%"
"16/03/2022","155,50","155,50","155,50","155,50","0,04K","3,19%"
"15/03/2022","150,70","150,70","150,70","150,70","0,01K","3,97%"
"14/03/2022","144,95","144,95","144,95","144,95","0,01K","3,98%"
"11/03/2022","139,40","139,40","139,40","139,40","0,02K","3,99%"
"10/03/2022","134,05","134,05","134,05","134,05","0,04K","-3,73%"
"09/03/2022","139,25","139,25","139,25","139,25","0,02K","-3,97%"
"08/03/2022","145,00","145,00","145,00","145,00","0,00K","-3,97%"
"07/03/2022","151,00","151,00","151,00","151,00","0,00K","-3,82%"
"04/03/2022","157,00","157,00","157,00","157,00","0,01K","2,61%"
"03/03/2022","153,00","153,00","153,00","153,00","0,00K","1,49%"
"02/03/2022","150,75","150,75","150,75","150,75","0,00K","-3,98%"
