"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","38,00","38,00","38,00","38,00","","0,03%"
"15/11/2022","37,99","36,60","37,99","36,60","0,09K","3,23%"
"14/11/2022","36,80","38,00","38,00","36,80","0,02K","-3,16%"
"10/11/2022","38,00","34,79","38,00","34,79","0,07K","2,70%"
"07/11/2022","37,00","37,00","37,00","37,00","0,01K","-2,63%"
"04/11/2022","38,00","38,00","38,00","38,00","0,03K","5,41%"
"28/10/2022","36,05","36,05","36,05","36,05","0,10K","6,00%"
"27/10/2022","34,01","35,00","35,00","34,01","0,16K","-4,39%"
"26/10/2022","35,57","35,57","35,57","35,57","0,06K","-3,00%"
"24/10/2022","36,67","36,67","36,67","36,67","0,09K","-5,97%"
"20/10/2022","39,00","35,53","39,00","35,52","0,11K","3,67%"
"19/10/2022","37,62","35,51","37,62","35,51","0,01K","5,97%"
"18/10/2022","35,50","35,63","35,63","35,50","0,46K","-0,34%"
"17/10/2022","35,62","35,62","35,62","35,62","0,10K","0,34%"
"14/10/2022","35,50","36,00","36,00","35,50","2,00K","-4,05%"
"13/10/2022","37,00","37,00","37,06","37,00","1,12K","-4,88%"
"12/10/2022","38,90","41,19","41,19","38,90","1,00K","-2,75%"
"07/10/2022","40,00","40,00","40,00","40,00","0,09K","-4,37%"
"03/10/2022","41,83","41,83","41,83","41,83","0,50K","-5,98%"
"29/09/2022","44,49","44,49","44,49","44,49","0,05K","5,18%"
"28/09/2022","42,30","44,89","44,89","42,30","0,23K","-5,98%"
"27/09/2022","44,99","45,00","45,00","44,80","0,67K","5,49%"
"26/09/2022","42,65","42,65","42,65","42,65","0,04K","-1,39%"
"23/09/2022","43,25","43,25","44,00","43,25","0,10K","-5,98%"
"21/09/2022","46,00","46,00","46,00","46,00","0,01K","-1,65%"
"19/09/2022","46,77","47,49","47,49","44,20","1,31K","-0,47%"
"16/09/2022","46,99","47,60","47,60","46,00","2,70K","4,52%"
"15/09/2022","44,96","44,90","44,96","43,61","3,81K","5,99%"
"14/09/2022","42,42","42,03","42,42","40,50","0,85K","6,00%"
"13/09/2022","40,02","40,00","41,53","40,00","0,79K","2,07%"
"12/09/2022","39,21","37,00","39,21","37,00","6,60K","5,97%"
"09/09/2022","37,00","36,00","37,00","36,00","0,04K","0,03%"
"08/09/2022","36,99","35,84","36,99","35,84","0,23K","5,69%"
"07/09/2022","35,00","35,00","35,00","35,00","0,16K","-2,48%"
"05/09/2022","35,89","35,68","35,89","35,68","0,01K","3,55%"
"02/09/2022","34,66","34,66","34,66","34,66","0,04K","-3,59%"
"01/09/2022","35,95","35,95","35,95","35,95","0,00K","-0,08%"
"31/08/2022","35,98","35,98","35,98","35,98","0,00K","0,03%"
"30/08/2022","35,97","35,97","35,97","35,97","0,00K","-0,08%"
"26/08/2022","36,00","36,00","36,00","36,00","0,00K","0,03%"
"25/08/2022","35,99","35,01","35,99","35,01","0,01K","2,80%"
"24/08/2022","35,01","35,01","35,01","35,01","0,05K","0,03%"
"22/08/2022","35,00","35,99","35,99","35,00","0,49K","0,00%"
"19/08/2022","35,00","34,63","35,00","34,63","1,45K","-4,99%"
"17/08/2022","36,84","36,84","36,84","36,84","0,00K","0,00%"
"16/08/2022","36,84","36,84","36,84","36,84","0,00K","-0,05%"
"11/08/2022","36,86","34,78","36,86","34,78","0,61K","5,98%"
"10/08/2022","34,78","34,78","34,78","34,05","0,02K","2,14%"
"09/08/2022","34,05","34,05","34,05","34,05","0,01K","-2,10%"
"08/08/2022","34,78","34,78","34,78","34,78","0,02K","0,00%"
"05/08/2022","34,78","34,15","34,78","34,05","0,15K","0,00%"
"04/08/2022","34,78","34,78","34,78","34,78","0,04K","2,14%"
"03/08/2022","34,05","34,05","34,05","34,05","0,02K","-2,10%"
"02/08/2022","34,78","34,80","34,80","34,78","0,21K","-5,97%"
"01/08/2022","36,99","36,99","36,99","36,99","0,00K","0,00%"
"27/07/2022","36,99","36,99","36,99","36,99","0,01K","2,75%"
"26/07/2022","36,00","36,00","36,00","36,00","0,01K","-2,70%"
"22/07/2022","37,00","37,00","37,00","37,00","0,00K","0,00%"
"21/07/2022","37,00","37,00","37,00","37,00","0,00K","5,71%"
"20/07/2022","35,00","34,00","35,00","34,00","0,05K","0,34%"
"19/07/2022","34,88","32,79","34,88","32,79","0,04K","0,00%"
"18/07/2022","34,88","34,88","34,88","34,88","0,00K","0,00%"
"13/07/2022","34,88","34,88","34,88","34,88","0,00K","0,00%"
"08/07/2022","34,88","34,88","34,88","34,88","0,11K","0,00%"
"07/07/2022","34,88","34,88","34,88","34,88","0,08K","5,99%"
"06/07/2022","32,91","32,91","32,91","32,91","0,00K","0,00%"
"05/07/2022","32,91","32,91","32,91","32,91","0,43K","-5,97%"
"04/07/2022","35,00","35,00","35,00","35,00","0,00K","1,45%"
"01/07/2022","34,50","34,50","34,50","34,50","0,00K","5,99%"
"30/06/2022","32,55","32,55","32,55","32,55","0,02K","0,00%"
"28/06/2022","32,55","35,00","35,00","32,54","1,03K","-5,95%"
"23/06/2022","34,61","34,60","34,61","34,60","0,05K","0,32%"
"22/06/2022","34,50","34,75","34,75","34,50","0,06K","-0,40%"
"21/06/2022","34,64","34,64","34,64","34,64","0,00K","0,00%"
"20/06/2022","34,64","34,64","34,64","34,64","0,01K","-6,00%"
"16/06/2022","36,85","36,85","36,85","36,85","0,08K","-0,41%"
"15/06/2022","37,00","37,00","37,00","37,00","0,11K","0,41%"
"14/06/2022","36,85","37,00","37,00","36,85","1,60K","-0,94%"
"13/06/2022","37,20","37,21","37,21","37,20","0,01K","0,40%"
"10/06/2022","37,05","38,00","39,85","37,00","0,51K","-2,50%"
"09/06/2022","38,00","38,00","38,01","38,00","0,25K","0,50%"
"08/06/2022","37,81","39,84","39,85","37,81","0,10K","0,24%"
"07/06/2022","37,72","39,99","39,99","37,71","0,08K","-5,68%"
"06/06/2022","39,99","39,00","40,00","37,86","0,20K","3,04%"
"03/06/2022","38,81","39,95","40,00","38,81","0,30K","-2,85%"
"02/06/2022","39,95","39,90","39,95","39,90","0,00K","0,00%"
"01/06/2022","39,95","39,95","39,95","39,95","0,01K","0,03%"
"31/05/2022","39,94","39,95","39,95","39,94","0,01K","-0,03%"
"30/05/2022","39,95","39,95","39,95","39,95","0,01K","0,13%"
"27/05/2022","39,90","39,90","39,90","39,90","0,00K","-0,25%"
"26/05/2022","40,00","39,39","40,00","38,21","0,09K","-1,48%"
"25/05/2022","40,60","40,60","40,60","40,60","0,00K","-0,02%"
"24/05/2022","40,61","40,61","40,61","40,61","0,01K","0,00%"
"23/05/2022","40,61","40,60","40,61","40,60","0,04K","-2,38%"
"20/05/2022","41,60","41,60","41,60","41,60","0,10K","-0,48%"
"19/05/2022","41,80","38,30","41,80","38,30","0,13K","5,88%"
"17/05/2022","39,48","39,50","39,50","39,48","0,05K","0,00%"
"16/05/2022","39,48","40,75","41,85","39,48","0,04K","-5,98%"
"12/05/2022","41,99","41,99","41,99","41,99","0,05K","-0,02%"
"11/05/2022","42,00","42,00","42,00","42,00","0,01K","-1,18%"
"09/05/2022","42,50","42,50","42,50","42,50","0,01K","-0,91%"
"04/05/2022","42,89","42,95","42,95","40,50","0,04K","0,21%"
"29/04/2022","42,80","42,80","42,80","42,80","0,01K","-0,44%"
"28/04/2022","42,99","42,99","42,99","42,99","0,01K","4,09%"
