"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/11/2022","115,00","116,00","117,00","115,00","1,81K","-3,36%"
"15/11/2022","119,00","120,00","120,00","117,35","0,62K","3,48%"
"14/11/2022","115,00","117,00","118,00","112,20","5,96K","0,00%"
"11/11/2022","115,00","120,00","120,00","115,00","108,69K","-2,54%"
"10/11/2022","118,00","120,05","122,00","118,00","15,18K","-3,24%"
"09/11/2022","121,95","121,00","121,95","121,00","0,65K","0,58%"
"08/11/2022","121,25","122,40","122,40","121,20","1,37K","-1,42%"
"07/11/2022","123,00","122,30","123,00","122,30","2,12K","-3,11%"
"04/11/2022","126,95","125,00","126,95","121,50","5,48K","-0,04%"
"03/11/2022","127,00","122,15","127,00","122,00","6,89K","2,46%"
"02/11/2022","123,95","122,70","123,95","122,00","0,32K","0,77%"
"01/11/2022","123,00","125,00","126,95","122,10","0,26K","-1,60%"
"31/10/2022","125,00","123,55","126,00","123,50","0,56K","-1,57%"
"28/10/2022","127,00","124,30","127,00","121,25","4,04K","2,17%"
"27/10/2022","124,30","124,30","124,30","124,30","0,00K","-0,16%"
"26/10/2022","124,50","125,00","125,00","122,00","2,01K","0,00%"
"25/10/2022","124,50","124,00","127,70","124,00","0,94K","0,40%"
"24/10/2022","124,00","120,20","124,00","120,20","0,74K","-1,51%"
"21/10/2022","125,90","120,00","125,90","120,00","10,81K","3,20%"
"20/10/2022","122,00","128,00","128,00","122,00","11,58K","-3,17%"
"19/10/2022","126,00","126,20","128,70","125,10","2,58K","-1,56%"
"18/10/2022","128,00","128,50","129,00","128,00","1,54K","-0,39%"
"17/10/2022","128,50","129,30","130,00","128,00","5,84K","-1,15%"
"14/10/2022","130,00","130,00","131,95","129,80","6,08K","-1,52%"
"13/10/2022","132,00","130,00","132,00","129,95","0,80K","-1,35%"
"12/10/2022","133,80","133,50","134,00","129,00","1,43K","0,60%"
"11/10/2022","133,00","133,00","133,00","131,60","1,13K","0,00%"
"07/10/2022","133,00","132,00","134,00","131,70","1,47K","0,68%"
"06/10/2022","132,10","131,15","135,00","131,15","0,68K","-0,68%"
"05/10/2022","133,00","132,10","135,90","132,10","0,22K","-2,21%"
