"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"10/11/2022","182,00","182,00","182,00","182,00","0,01K","1,22%"
"28/10/2022","179,80","179,80","179,80","179,80","0,03K","3,99%"
"24/10/2022","172,90","172,90","172,90","172,90","0,32K","-3,94%"
"21/10/2022","180,00","180,00","180,00","180,00","0,04K","2,97%"
"20/10/2022","174,80","174,80","174,80","174,80","0,01K","-3,98%"
"19/10/2022","182,05","182,05","182,05","182,05","0,07K","0,03%"
"18/10/2022","182,00","182,00","182,00","182,00","0,02K","-0,55%"
"17/10/2022","183,00","183,00","183,00","183,00","0,05K","1,67%"
"14/10/2022","180,00","180,00","180,00","180,00","0,00K","0,00%"
"13/10/2022","180,00","180,00","180,00","180,00","1,26K","1,12%"
"04/10/2022","178,00","178,00","178,00","178,00","0,09K","0,00%"
"30/09/2022","178,00","178,00","178,00","178,00","0,00K","1,14%"
"28/09/2022","176,00","176,00","176,00","176,00","0,01K","0,57%"
"26/09/2022","175,00","175,00","175,00","175,00","0,00K","-1,13%"
"23/09/2022","177,00","177,00","177,00","177,00","0,11K","0,00%"
"22/09/2022","177,00","177,00","177,00","177,00","0,06K","0,03%"
"21/09/2022","176,95","176,95","176,95","176,95","0,00K","3,48%"
"20/09/2022","171,00","171,00","171,00","171,00","0,12K","-0,29%"
"19/09/2022","171,50","171,50","171,50","171,50","0,03K","-2,56%"
"16/09/2022","176,00","176,00","176,00","176,00","0,14K","1,15%"
"15/09/2022","174,00","174,00","174,00","174,00","0,06K","-0,40%"
"13/09/2022","174,70","174,70","174,70","174,70","0,01K","-0,74%"
"08/09/2022","176,00","176,00","176,00","176,00","0,05K","-1,54%"
"07/09/2022","178,75","178,75","178,75","178,75","0,05K","2,14%"
"06/09/2022","175,00","175,00","175,00","175,00","0,09K","1,39%"
"01/09/2022","172,60","172,60","172,60","172,60","0,01K","-0,03%"
"31/08/2022","172,65","172,65","172,65","172,65","0,01K","0,00%"
"30/08/2022","172,65","172,65","172,65","172,65","0,03K","0,96%"
"26/08/2022","171,00","171,00","171,00","171,00","0,01K","3,64%"
"17/08/2022","165,00","165,00","165,00","165,00","0,04K","-1,79%"
"16/08/2022","168,00","168,00","168,00","168,00","0,04K","0,00%"
"15/08/2022","168,00","168,00","168,00","168,00","0,09K","-1,75%"
"12/08/2022","171,00","171,00","171,00","171,00","0,03K","0,00%"
"11/08/2022","171,00","171,00","171,00","171,00","0,04K","1,48%"
"10/08/2022","168,50","168,50","168,50","168,50","0,00K","-0,88%"
"04/08/2022","170,00","170,00","170,00","170,00","0,02K","0,00%"
"01/08/2022","170,00","170,00","170,00","170,00","0,01K","2,41%"
"22/07/2022","166,00","166,00","166,00","166,00","0,00K","2,91%"
"20/07/2022","161,30","161,30","161,30","161,30","0,00K","-3,99%"
"19/07/2022","168,00","168,00","168,00","168,00","0,00K","3,07%"
"18/07/2022","163,00","163,00","163,00","163,00","0,00K","0,00%"
"15/07/2022","163,00","163,00","163,00","163,00","0,00K","3,16%"
"08/07/2022","158,00","158,00","158,00","158,00","0,00K","3,81%"
"01/07/2022","152,20","152,20","152,20","152,20","0,02K","-3,97%"
"23/06/2022","158,50","158,50","158,50","158,50","0,00K","0,00%"
"17/06/2022","158,50","158,50","158,50","158,50","0,07K","-3,94%"
"08/06/2022","165,00","165,00","165,00","165,00","0,02K","0,00%"
"07/06/2022","165,00","165,00","165,00","165,00","0,02K","0,00%"
"03/06/2022","165,00","165,00","165,00","165,00","0,01K","1,23%"
"01/06/2022","163,00","163,00","163,00","163,00","0,07K","0,00%"
"30/05/2022","163,00","163,00","163,00","163,00","0,00K","0,00%"
"27/05/2022","163,00","163,00","163,00","163,00","0,02K","-0,06%"
"25/05/2022","163,10","163,10","163,10","163,10","0,03K","0,06%"
"24/05/2022","163,00","163,00","163,00","163,00","0,08K","-1,81%"
"17/05/2022","166,00","166,00","166,00","166,00","0,01K","-3,96%"
"13/05/2022","172,85","172,85","172,85","172,85","0,01K","-3,97%"
"09/05/2022","180,00","180,00","180,00","180,00","0,00K","0,00%"
"05/05/2022","180,00","180,00","180,00","180,00","0,06K","2,86%"
"29/04/2022","175,00","175,00","175,00","175,00","0,09K","0,00%"
"28/04/2022","175,00","175,00","175,00","175,00","0,04K","2,01%"
"27/04/2022","171,55","171,55","171,55","171,55","0,04K","3,97%"
"26/04/2022","165,00","165,00","165,00","165,00","0,01K","0,00%"
"25/04/2022","165,00","165,00","165,00","165,00","","2,39%"
"22/04/2022","161,15","161,15","161,15","161,15","0,00K","3,97%"
"21/04/2022","155,00","155,00","155,00","155,00","0,00K","3,33%"
"20/04/2022","150,00","150,00","150,00","150,00","0,00K","3,41%"
"15/04/2022","145,05","145,05","145,05","145,05","0,11K","0,03%"
"14/04/2022","145,00","145,00","145,00","145,00","0,05K","-1,36%"
"08/04/2022","147,00","147,00","147,00","147,00","0,00K","-2,33%"
"06/04/2022","150,50","150,50","150,50","150,50","0,00K","3,86%"
"04/04/2022","144,90","144,90","144,90","144,90","0,07K","-3,98%"
"01/04/2022","150,90","150,90","150,90","150,90","0,10K","2,65%"
"31/03/2022","147,00","147,00","147,00","147,00","0,00K","3,78%"
"30/03/2022","141,65","141,65","141,65","141,65","0,01K","3,96%"
"29/03/2022","136,25","136,25","136,25","136,25","0,07K","3,97%"
"23/03/2022","131,05","131,05","131,05","131,05","0,01K","-3,99%"
"22/03/2022","136,50","136,50","136,50","136,50","0,00K","0,00%"
"18/03/2022","136,50","136,50","136,50","136,50","0,00K","1,87%"
"17/03/2022","134,00","134,00","134,00","134,00","0,00K","3,12%"
"16/03/2022","129,95","129,95","129,95","129,95","0,01K","3,96%"
"07/03/2022","125,00","125,00","125,00","125,00","0,02K","-3,62%"
"03/03/2022","129,70","129,70","129,70","129,70","0,14K","-4,00%"
"02/03/2022","135,10","135,10","135,10","135,10","0,08K","-3,98%"
"24/02/2022","140,70","140,70","140,70","140,70","0,00K","-3,99%"
"18/02/2022","146,55","146,55","146,55","146,55","0,02K","-4,00%"
"11/02/2022","152,65","152,65","152,65","152,65","0,00K","-3,99%"
"10/02/2022","159,00","159,00","159,00","159,00","0,01K","-0,63%"
"09/02/2022","160,00","160,00","160,00","160,00","0,05K","3,90%"
"07/02/2022","154,00","154,00","154,00","154,00","0,02K","-0,52%"
"04/02/2022","154,80","154,80","154,80","154,80","0,01K","0,00%"
"03/02/2022","154,80","154,80","154,80","154,80","0,02K","3,34%"
"02/02/2022","149,80","149,80","149,80","149,80","0,01K","3,52%"
"01/02/2022","144,70","144,70","144,70","144,70","0,04K","0,49%"
"31/01/2022","144,00","144,00","144,00","144,00","0,01K","2,78%"
"28/01/2022","140,10","140,10","140,10","140,10","0,06K","-0,64%"
"25/01/2022","141,00","141,00","141,00","141,00","0,04K","-2,69%"
"24/01/2022","144,90","144,90","144,90","144,90","0,01K","3,50%"
"20/01/2022","140,00","140,00","140,00","140,00","0,10K","-0,71%"
"17/01/2022","141,00","141,00","141,00","141,00","0,00K","0,00%"
"13/01/2022","141,00","141,00","141,00","141,00","0,00K","0,00%"
"07/01/2022","141,00","141,00","141,00","141,00","0,00K","2,25%"
"06/01/2022","137,90","137,90","137,90","137,90","0,08K","0,00%"
"23/12/2021","137,90","137,90","137,90","137,90","0,00K","-0,07%"
"17/12/2021","138,00","138,00","138,00","138,00","0,01K","0,00%"
"03/12/2021","138,00","138,00","138,00","138,00","0,00K","0,00%"
"30/11/2021","138,00","138,00","138,00","138,00","0,12K","-1,15%"
"29/11/2021","139,60","139,60","139,60","139,60","0,02K","0,00%"
"26/11/2021","139,60","139,60","139,60","139,60","0,00K","0,00%"
"24/11/2021","139,60","139,60","139,60","139,60","0,00K","-1,69%"
"23/11/2021","142,00","142,00","142,00","142,00","0,00K","0,00%"
"22/11/2021","142,00","142,00","142,00","142,00","2,01K","0,00%"
"19/11/2021","142,00","142,00","142,00","142,00","0,00K","0,00%"
"17/11/2021","142,00","142,00","142,00","142,00","0,00K","0,00%"
"16/11/2021","142,00","142,00","142,00","142,00","0,02K","-3,37%"
"09/11/2021","146,95","146,95","146,95","146,95","0,04K","2,76%"
"08/11/2021","143,00","143,00","143,00","143,00","0,08K","-3,90%"
"05/11/2021","148,80","148,80","148,80","148,80","0,08K","2,90%"
"04/11/2021","144,60","144,60","144,60","144,60","0,01K","3,99%"
"03/11/2021","139,05","139,05","139,05","139,05","0,01K","2,81%"
"02/11/2021","135,25","135,25","135,25","135,25","0,00K","4,00%"
"01/11/2021","130,05","130,05","130,05","130,05","0,00K","-3,16%"
"27/10/2021","134,30","134,30","134,30","134,30","0,00K","0,04%"
"26/10/2021","134,25","134,25","134,25","134,25","0,01K","3,99%"
"25/10/2021","129,10","129,10","129,10","129,10","0,00K","0,08%"
"22/10/2021","129,00","129,00","129,00","129,00","0,01K","0,00%"
"21/10/2021","129,00","129,00","129,00","129,00","0,00K","-1,90%"
"18/10/2021","131,50","131,50","131,50","131,50","0,00K","-3,94%"
"15/10/2021","136,90","136,90","136,90","136,90","0,01K","-0,04%"
"13/10/2021","136,95","136,95","136,95","136,95","0,00K","-4,00%"
"11/10/2021","142,65","142,65","142,65","142,65","0,00K","1,93%"
"30/09/2021","139,95","139,95","139,95","139,95","0,20K","1,41%"
"28/09/2021","138,00","138,00","138,00","138,00","0,02K","0,00%"
"27/09/2021","138,00","138,00","138,00","138,00","0,05K","-1,39%"
"24/09/2021","139,95","139,95","139,95","139,95","0,00K","0,68%"
"22/09/2021","139,00","139,00","139,00","139,00","0,07K","0,14%"
"20/09/2021","138,80","138,80","138,80","138,80","0,01K","0,62%"
"15/09/2021","137,95","137,95","137,95","137,95","0,00K","0,66%"
"10/09/2021","137,05","137,05","137,05","137,05","0,00K","1,97%"
"09/09/2021","134,40","134,40","134,40","134,40","0,00K","1,59%"
"08/09/2021","132,30","132,30","132,30","132,30","0,01K","1,57%"
"03/09/2021","130,25","130,25","130,25","130,25","0,00K","2,00%"
"02/09/2021","127,70","127,70","127,70","127,70","0,03K","1,87%"
"01/09/2021","125,35","125,35","125,35","125,35","0,03K","1,99%"
"25/08/2021","122,90","122,90","122,90","122,90","0,02K","1,99%"
"19/08/2021","120,50","120,50","120,50","120,50","0,31K","-1,27%"
"18/08/2021","122,05","122,05","122,05","122,05","0,15K","-1,97%"
"17/08/2021","124,50","124,50","124,50","124,50","0,02K","-1,97%"
"12/08/2021","127,00","127,00","127,00","127,00","0,21K","0,00%"
"09/08/2021","127,00","127,00","127,00","127,00","0,00K","1,60%"
"06/08/2021","125,00","125,00","125,00","125,00","0,01K","-1,57%"
"04/08/2021","127,00","127,00","127,00","127,00","0,00K","0,00%"
"03/08/2021","127,00","127,00","127,00","127,00","0,05K","0,00%"
"02/08/2021","127,00","127,00","127,00","127,00","0,01K","0,00%"
"29/07/2021","127,00","127,00","127,00","127,00","0,02K","0,00%"
"28/07/2021","127,00","127,00","127,00","127,00","0,44K","0,00%"
"27/07/2021","127,00","127,00","127,00","127,00","0,01K","0,00%"
