"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/11/2022","1.240,00","1.240,00","1.240,00","1.239,00","0,01K","0,00%"
"11/11/2022","1.240,00","1.240,00","1.240,00","1.235,00","1,10K","1,64%"
"10/11/2022","1.220,00","1.269,00","1.269,00","1.220,00","5,23K","-3,86%"
"09/11/2022","1.269,00","1.270,00","1.270,00","1.269,00","0,07K","0,00%"
"08/11/2022","1.269,00","1.269,00","1.269,00","1.269,00","0,06K","-2,91%"
"04/11/2022","1.307,00","1.361,00","1.361,00","1.307,00","0,60K","-5,97%"
"03/11/2022","1.390,00","1.390,00","1.390,00","1.390,00","0,10K","0,00%"
"02/11/2022","1.390,00","1.390,00","1.390,00","1.390,00","0,00K","1,76%"
"01/11/2022","1.366,00","1.360,00","1.390,00","1.360,00","0,20K","-1,01%"
"31/10/2022","1.380,00","1.380,00","1.380,00","1.380,00","0,01K","0,00%"
"28/10/2022","1.380,00","1.380,00","1.380,00","1.380,00","0,34K","2,22%"
"26/10/2022","1.350,00","1.350,00","1.380,00","1.350,00","1,25K","-0,74%"
"25/10/2022","1.360,00","1.349,00","1.360,00","1.349,00","1,26K","0,74%"
"21/10/2022","1.350,00","1.350,00","1.350,00","1.350,00","0,40K","0,00%"
"20/10/2022","1.350,00","1.350,00","1.350,00","1.290,00","0,62K","-1,46%"
"19/10/2022","1.370,00","1.331,00","1.370,00","1.331,00","0,08K","0,74%"
"18/10/2022","1.360,00","1.360,00","1.360,00","1.360,00","0,00K","0,74%"
"17/10/2022","1.350,00","1.388,00","1.390,00","1.350,00","2,44K","-3,57%"
"14/10/2022","1.400,00","1.427,00","1.427,00","1.400,00","0,27K","-1,82%"
"13/10/2022","1.426,00","1.427,00","1.427,00","1.426,00","0,01K","-3,32%"
"12/10/2022","1.475,00","1.475,00","1.475,00","1.475,00","0,01K","0,34%"
"11/10/2022","1.470,00","1.470,00","1.470,00","1.470,00","0,01K","0,00%"
"07/10/2022","1.470,00","1.470,00","1.470,00","1.470,00","0,01K","1,38%"
"06/10/2022","1.450,00","1.449,00","1.450,00","1.449,00","0,30K","0,07%"
"05/10/2022","1.449,00","1.450,00","1.450,00","1.449,00","0,30K","-0,75%"
"30/09/2022","1.460,00","1.450,00","1.460,00","1.450,00","15,83K","-5,19%"
"29/09/2022","1.540,00","1.500,00","1.540,00","1.490,00","7,94K","0,00%"
"28/09/2022","1.540,00","1.600,00","1.600,00","1.540,00","2,16K","-3,75%"
"27/09/2022","1.600,00","1.600,00","1.600,00","1.545,00","3,20K","0,00%"
"26/09/2022","1.600,00","1.634,00","1.634,00","1.600,00","0,56K","-0,62%"
"23/09/2022","1.610,00","1.553,00","1.610,00","1.553,00","1,22K","3,74%"
"22/09/2022","1.552,00","1.552,00","1.552,00","1.552,00","0,17K","-3,60%"
"21/09/2022","1.610,00","1.580,00","1.625,00","1.580,00","0,28K","1,90%"
"20/09/2022","1.580,00","1.580,00","1.580,00","1.580,00","0,10K","0,00%"
"19/09/2022","1.580,00","1.580,00","1.580,00","1.580,00","0,17K","1,94%"
"16/09/2022","1.550,00","1.609,00","1.610,00","1.550,00","0,45K","-1,27%"
"15/09/2022","1.570,00","1.580,00","1.580,00","1.570,00","0,31K","-2,55%"
"14/09/2022","1.611,00","1.571,00","1.611,00","1.571,00","0,02K","2,94%"
"13/09/2022","1.565,00","1.620,00","1.620,00","1.565,00","0,05K","-3,40%"
"12/09/2022","1.620,00","1.620,00","1.620,00","1.620,00","28,01K","2,86%"
"09/09/2022","1.575,00","1.620,00","1.665,00","1.575,00","21,15K","-1,56%"
"08/09/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,06K","-1,23%"
"07/09/2022","1.620,00","1.649,00","1.649,00","1.620,00","8,12K","1,25%"
"06/09/2022","1.600,00","1.620,00","1.638,00","1.600,00","1,05K","-1,54%"
"02/09/2022","1.625,00","1.645,00","1.645,00","1.620,00","3,75K","0,31%"
"01/09/2022","1.620,00","1.626,00","1.640,00","1.620,00","2,10K","-1,22%"
"31/08/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,06K","0,00%"
"26/08/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,15K","0,00%"
"23/08/2022","1.640,00","1.620,00","1.640,00","1.620,00","0,44K","0,00%"
"22/08/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,82K","1,23%"
"19/08/2022","1.620,00","1.621,00","1.621,00","1.620,00","0,01K","-0,43%"
"18/08/2022","1.627,00","1.627,00","1.627,00","1.627,00","2,00K","0,43%"
"15/08/2022","1.620,00","1.620,00","1.620,00","1.620,00","0,03K","0,25%"
"12/08/2022","1.616,00","1.630,00","1.636,00","1.616,00","3,30K","-0,86%"
"11/08/2022","1.630,00","1.635,00","1.635,00","1.620,00","5,01K","3,30%"
"10/08/2022","1.578,00","1.578,00","1.578,00","1.578,00","0,04K","-1,38%"
"09/08/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,03K","1,27%"
"05/08/2022","1.580,00","1.580,00","1.580,00","1.580,00","0,10K","0,64%"
"04/08/2022","1.570,00","1.600,00","1.630,00","1.570,00","1,14K","-1,88%"
"03/08/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,00K","-0,12%"
"02/08/2022","1.602,00","1.600,00","1.602,00","1.600,00","0,14K","0,13%"
"01/08/2022","1.600,00","1.600,00","1.600,00","1.600,00","0,02K","0,00%"
"29/07/2022","1.600,00","1.605,00","1.605,00","1.600,00","0,21K","-0,31%"
"28/07/2022","1.605,00","1.600,00","1.605,00","1.600,00","0,01K","0,25%"
"27/07/2022","1.601,00","1.620,00","1.620,00","1.601,00","0,06K","0,00%"
"20/07/2022","1.601,00","1.601,00","1.601,00","1.601,00","1,02K","-2,08%"
"19/07/2022","1.635,00","1.665,00","1.665,00","1.635,00","1,02K","-1,51%"
"15/07/2022","1.660,00","1.660,00","1.660,00","1.660,00","0,10K","1,16%"
"14/07/2022","1.641,00","1.641,00","1.641,00","1.641,00","0,02K","0,06%"
"13/07/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,00K","0,00%"
"12/07/2022","1.640,00","1.640,00","1.640,00","1.640,00","0,02K","0,00%"
"08/07/2022","1.640,00","1.640,00","1.640,00","1.640,00","3,00K","0,00%"
"07/07/2022","1.640,00","1.640,00","1.640,00","1.640,00","1,00K","1,42%"
"06/07/2022","1.617,00","1.617,00","1.617,00","1.617,00","0,10K","-2,59%"
"05/07/2022","1.660,00","1.700,00","1.700,00","1.660,00","3,21K","-1,78%"
"01/07/2022","1.690,00","1.690,00","1.690,00","1.690,00","1,40K","-5,59%"
"30/06/2022","1.790,00","1.705,00","1.790,00","1.705,00","0,26K","-0,56%"
"29/06/2022","1.800,00","1.800,00","1.800,00","1.800,00","0,10K","2,86%"
"24/06/2022","1.750,00","1.700,00","1.750,00","1.700,00","15,32K","0,98%"
"23/06/2022","1.733,00","1.733,00","1.733,00","1.733,00","1,50K","-0,97%"
"22/06/2022","1.750,00","1.699,00","1.750,00","1.690,00","9,12K","0,00%"
"21/06/2022","1.750,00","1.667,00","1.750,00","1.667,00","4,75K","1,74%"
"20/06/2022","1.720,00","1.720,00","1.720,00","1.720,00","0,30K","0,00%"
"17/06/2022","1.720,00","1.702,00","1.720,00","1.701,00","0,64K","0,00%"
