"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","1.025,00","1.030,00","1.070,00","1.025,00","1,75K","0,49%"
"10/11/2022","1.020,00","1.031,00","1.031,00","1.020,00","0,21K","-0,97%"
"09/11/2022","1.030,00","1.010,00","1.030,00","1.010,00","0,85K","-2,37%"
"04/11/2022","1.055,00","1.055,00","1.055,00","1.055,00","0,30K","0,48%"
"03/11/2022","1.050,00","1.050,00","1.051,00","1.050,00","0,50K","0,00%"
"02/11/2022","1.050,00","1.051,00","1.051,00","1.050,00","0,04K","-1,87%"
"01/11/2022","1.070,00","1.050,00","1.070,00","1.050,00","0,06K","0,00%"
"31/10/2022","1.070,00","1.050,00","1.070,00","1.050,00","0,01K","0,00%"
"28/10/2022","1.070,00","1.070,00","1.070,00","1.070,00","0,35K","5,94%"
"27/10/2022","1.010,00","1.010,00","1.010,00","1.010,00","0,10K","-2,88%"
"26/10/2022","1.040,00","1.070,00","1.070,00","1.040,00","0,01K","0,00%"
"25/10/2022","1.040,00","1.079,00","1.079,00","1.038,00","1,44K","0,19%"
"24/10/2022","1.038,00","1.038,00","1.038,00","1.038,00","0,00K","-2,99%"
"21/10/2022","1.070,00","1.073,00","1.073,00","1.030,00","0,99K","2,88%"
"20/10/2022","1.040,00","1.074,00","1.074,00","1.040,00","0,52K","-3,70%"
"19/10/2022","1.080,00","1.074,00","1.080,00","1.074,00","0,16K","0,00%"
"18/10/2022","1.080,00","1.073,00","1.080,00","1.073,00","0,08K","0,00%"
"17/10/2022","1.080,00","1.061,00","1.160,00","1.061,00","0,89K","-3,57%"
"14/10/2022","1.120,00","1.164,00","1.164,00","1.120,00","2,26K","-0,88%"
"13/10/2022","1.130,00","1.130,00","1.130,00","1.130,00","0,02K","-0,53%"
"12/10/2022","1.136,00","1.136,00","1.136,00","1.136,00","0,37K","-3,73%"
"07/10/2022","1.180,00","1.125,00","1.180,00","1.125,00","0,12K","5,26%"
"05/10/2022","1.121,00","1.121,00","1.121,00","1.121,00","0,08K","0,00%"
"04/10/2022","1.121,00","1.187,00","1.187,00","1.120,00","37,46K","-1,67%"
"30/09/2022","1.140,00","1.136,00","1.140,00","1.110,00","10,10K","0,00%"
"29/09/2022","1.140,00","1.143,00","1.150,00","1.140,00","5,10K","-0,78%"
"28/09/2022","1.149,00","1.180,00","1.180,00","1.149,00","2,47K","-4,25%"
"27/09/2022","1.200,00","1.190,00","1.240,00","1.190,00","2,73K","0,00%"
"26/09/2022","1.200,00","1.163,00","1.200,00","1.163,00","0,40K","0,00%"
"23/09/2022","1.200,00","1.171,00","1.200,00","1.171,00","2,41K","0,84%"
"22/09/2022","1.190,00","1.189,00","1.190,00","1.189,00","10,48K","0,00%"
"21/09/2022","1.190,00","1.166,00","1.192,00","1.166,00","0,89K","1,10%"
"20/09/2022","1.177,00","1.172,00","1.190,00","1.172,00","1,03K","0,51%"
"19/09/2022","1.171,00","1.196,00","1.196,00","1.171,00","0,34K","-2,17%"
"16/09/2022","1.197,00","1.179,00","1.197,00","1.170,00","0,83K","5,93%"
"15/09/2022","1.130,00","1.173,00","1.174,00","1.130,00","0,08K","-0,88%"
"14/09/2022","1.140,00","1.170,00","1.170,00","1.140,00","0,15K","-3,39%"
"13/09/2022","1.180,00","1.180,00","1.182,00","1.180,00","9,52K","-0,42%"
"12/09/2022","1.185,00","1.200,00","1.200,00","1.166,00","0,20K","0,68%"
"09/09/2022","1.177,00","1.170,00","1.195,00","1.170,00","1,88K","-1,92%"
"08/09/2022","1.200,00","1.153,00","1.200,00","1.153,00","0,40K","2,13%"
"07/09/2022","1.175,00","1.191,00","1.191,00","1.175,00","2,01K","-0,34%"
"06/09/2022","1.179,00","1.179,00","1.179,00","1.179,00","0,01K","-0,08%"
"05/09/2022","1.180,00","1.180,00","1.180,00","1.180,00","0,00K","2,16%"
"02/09/2022","1.155,00","1.154,00","1.157,00","1.153,00","1,55K","-0,43%"
"01/09/2022","1.160,00","1.161,00","1.170,00","1.150,00","0,10K","-2,68%"
"31/08/2022","1.192,00","1.192,00","1.192,00","1.192,00","0,00K","2,76%"
"29/08/2022","1.160,00","1.171,00","1.178,00","1.160,00","1,18K","-1,19%"
"26/08/2022","1.174,00","1.200,00","1.200,00","1.174,00","0,68K","-2,17%"
"25/08/2022","1.200,00","1.189,00","1.205,00","1.189,00","1,75K","1,35%"
"19/08/2022","1.184,00","1.182,00","1.184,00","1.182,00","0,26K","1,20%"
"18/08/2022","1.170,00","1.184,00","1.184,00","1.170,00","0,01K","4,46%"
"17/08/2022","1.120,00","1.160,00","1.160,00","1.120,00","0,04K","-3,45%"
"16/08/2022","1.160,00","1.162,00","1.162,00","1.160,00","1,00K","-0,17%"
"15/08/2022","1.162,00","1.171,00","1.197,00","1.162,00","0,02K","-2,35%"
"12/08/2022","1.190,00","1.169,00","1.190,00","1.169,00","0,37K","4,85%"
"10/08/2022","1.135,00","1.170,00","1.170,00","1.135,00","0,41K","-2,99%"
"09/08/2022","1.170,00","1.117,00","1.170,00","1.117,00","0,17K","0,00%"
"05/08/2022","1.170,00","1.140,00","1.170,00","1.140,00","0,06K","3,91%"
"04/08/2022","1.126,00","1.117,00","1.144,00","1.117,00","0,01K","0,99%"
"03/08/2022","1.115,00","1.110,00","1.115,00","1.110,00","0,20K","0,45%"
"02/08/2022","1.110,00","1.150,00","1.160,00","1.110,00","0,09K","-4,23%"
"01/08/2022","1.159,00","1.119,00","1.165,00","1.119,00","5,20K","5,36%"
"29/07/2022","1.100,00","1.101,00","1.101,00","1.100,00","0,56K","0,00%"
"28/07/2022","1.100,00","1.100,00","1.100,00","1.100,00","0,01K","0,00%"
"27/07/2022","1.100,00","1.100,00","1.100,00","1.100,00","0,00K","0,00%"
"26/07/2022","1.100,00","1.100,00","1.100,00","1.100,00","0,05K","0,00%"
"25/07/2022","1.100,00","1.070,00","1.100,00","1.070,00","1,65K","-2,65%"
"22/07/2022","1.130,00","1.070,00","1.130,00","1.070,00","0,18K","5,61%"
"21/07/2022","1.070,00","1.071,00","1.100,00","1.070,00","0,24K","0,94%"
"20/07/2022","1.060,00","1.060,00","1.060,00","1.060,00","0,06K","-3,64%"
"19/07/2022","1.100,00","1.079,00","1.100,00","1.079,00","1,28K","2,04%"
"18/07/2022","1.078,00","1.078,00","1.078,00","1.078,00","0,00K","1,60%"
"15/07/2022","1.061,00","1.032,00","1.077,00","1.032,00","1,91K","2,22%"
"14/07/2022","1.038,00","1.038,00","1.038,00","1.038,00","0,03K","-1,14%"
"13/07/2022","1.050,00","1.028,00","1.050,00","1.028,00","0,01K","0,00%"
"08/07/2022","1.050,00","1.050,00","1.050,00","1.050,00","1,22K","-0,94%"
"07/07/2022","1.060,00","1.057,00","1.060,00","1.057,00","0,11K","0,28%"
"06/07/2022","1.057,00","1.050,00","1.057,00","1.050,00","0,07K","0,67%"
"05/07/2022","1.050,00","1.025,00","1.050,00","1.025,00","0,19K","2,84%"
"04/07/2022","1.021,00","1.079,00","1.079,00","1.021,00","0,04K","-1,83%"
"01/07/2022","1.040,00","1.080,00","1.081,00","1.040,00","2,01K","-3,70%"
"30/06/2022","1.080,00","1.079,00","1.080,00","1.051,00","3,24K","3,85%"
"29/06/2022","1.040,00","1.060,00","1.060,00","1.040,00","0,29K","-3,79%"
"27/06/2022","1.081,00","1.081,00","1.081,00","1.081,00","3,80K","0,00%"
"24/06/2022","1.081,00","1.050,00","1.081,00","1.050,00","5,54K","5,98%"
"23/06/2022","1.020,00","1.047,00","1.050,00","1.020,00","0,85K","-2,86%"
"22/06/2022","1.050,00","1.061,00","1.061,00","1.050,00","3,38K","0,00%"
"21/06/2022","1.050,00","1.045,00","1.050,00","1.045,00","0,64K","0,00%"
"20/06/2022","1.050,00","1.050,00","1.050,00","1.050,00","0,10K","-1,87%"
"17/06/2022","1.070,00","1.075,00","1.104,00","1.070,00","0,45K","-3,08%"
"16/06/2022","1.104,00","1.104,00","1.104,00","1.104,00","0,00K","-0,54%"
"15/06/2022","1.110,00","1.110,00","1.110,00","1.110,00","15,26K","0,00%"
"14/06/2022","1.110,00","1.066,00","1.110,00","1.066,00","17,41K","0,00%"
"13/06/2022","1.110,00","1.110,00","1.119,00","1.110,00","9,55K","0,00%"
"10/06/2022","1.110,00","1.110,00","1.110,00","1.050,00","7,23K","0,00%"
"09/06/2022","1.110,00","1.110,00","1.110,00","1.080,00","5,02K","0,91%"
"08/06/2022","1.100,00","1.130,00","1.130,00","1.100,00","0,66K","-3,76%"
"07/06/2022","1.143,00","1.079,00","1.143,00","1.062,00","1,24K","5,93%"
"03/06/2022","1.079,00","1.080,00","1.080,00","1.079,00","0,30K","0,19%"
"02/06/2022","1.077,00","1.077,00","1.077,00","1.077,00","0,05K","-1,19%"
"01/06/2022","1.090,00","1.079,00","1.090,00","1.078,00","0,03K","1,11%"
"31/05/2022","1.078,00","1.078,00","1.078,00","1.078,00","0,02K","0,00%"
"30/05/2022","1.078,00","1.078,00","1.078,00","1.078,00","0,02K","-0,65%"
"27/05/2022","1.085,00","1.077,00","1.085,00","1.077,00","1,58K","0,65%"
"24/05/2022","1.078,00","1.080,00","1.080,00","1.078,00","1,15K","-5,02%"
"23/05/2022","1.135,00","1.075,00","1.135,00","1.075,00","0,11K","-0,44%"
"20/05/2022","1.140,00","1.073,00","1.140,00","1.073,00","0,19K","5,17%"
"19/05/2022","1.084,00","1.084,00","1.084,00","1.084,00","10,91K","1,21%"
"18/05/2022","1.071,00","1.072,00","1.072,00","1.071,00","0,00K","-1,74%"
"17/05/2022","1.090,00","1.090,00","1.090,00","1.090,00","1,00K","-0,91%"
"16/05/2022","1.100,00","1.099,00","1.100,00","1.080,00","0,41K","1,85%"
"13/05/2022","1.080,00","1.100,00","1.100,00","1.070,00","1,05K","1,03%"
"12/05/2022","1.069,00","1.063,00","1.069,00","1.063,00","0,33K","1,14%"
"11/05/2022","1.057,00","1.057,00","1.057,00","1.057,00","0,02K","0,28%"
"10/05/2022","1.054,00","1.120,00","1.120,00","1.054,00","0,42K","-5,98%"
"09/05/2022","1.121,00","1.121,00","1.121,00","1.121,00","0,50K","0,09%"
"06/05/2022","1.120,00","1.144,00","1.144,00","1.120,00","0,20K","-2,18%"
"05/05/2022","1.145,00","1.118,00","1.145,00","1.118,00","0,15K","0,00%"
"29/04/2022","1.145,00","1.133,00","1.145,00","1.133,00","1,20K","2,23%"
"27/04/2022","1.120,00","1.107,00","1.120,00","1.107,00","0,74K","-2,44%"
"26/04/2022","1.148,00","1.149,00","1.149,00","1.103,00","0,09K","0,09%"
"25/04/2022","1.147,00","1.150,00","1.150,00","1.147,00","0,03K","-0,26%"
"22/04/2022","1.150,00","1.150,00","1.150,00","1.150,00","1,14K","0,00%"
"21/04/2022","1.150,00","1.165,00","1.165,00","1.150,00","0,11K","4,55%"
"20/04/2022","1.100,00","1.100,00","1.128,00","1.100,00","2,91K","3,29%"
"19/04/2022","1.065,00","1.065,00","1.080,00","1.065,00","0,37K","1,33%"
"18/04/2022","1.051,00","1.067,00","1.067,00","1.051,00","0,02K","-1,50%"
"15/04/2022","1.067,00","1.070,00","1.070,00","1.067,00","0,14K","-0,28%"
"14/04/2022","1.070,00","1.070,00","1.070,00","1.070,00","0,02K","0,00%"
"13/04/2022","1.070,00","1.071,00","1.071,00","1.070,00","0,01K","0,00%"
"12/04/2022","1.070,00","1.070,00","1.070,00","1.070,00","0,03K","0,28%"
"11/04/2022","1.067,00","1.067,00","1.067,00","1.067,00","0,03K","0,09%"
"08/04/2022","1.066,00","1.073,00","1.073,00","1.066,00","0,13K","-0,65%"
"07/04/2022","1.073,00","1.073,00","1.073,00","1.073,00","0,00K","-0,65%"
"06/04/2022","1.080,00","1.080,00","1.080,00","1.080,00","0,02K","-1,37%"
"04/04/2022","1.095,00","1.095,00","1.095,00","1.095,00","0,01K","0,46%"
"01/04/2022","1.090,00","1.090,00","1.090,00","1.090,00","0,15K","1,87%"
"31/03/2022","1.070,00","1.069,00","1.070,00","1.069,00","0,06K","0,09%"
"30/03/2022","1.069,00","1.068,00","1.090,00","1.067,00","0,05K","0,09%"
"29/03/2022","1.068,00","1.068,00","1.069,00","1.068,00","0,21K","0,28%"
"25/03/2022","1.065,00","1.068,00","1.090,00","1.065,00","0,55K","-0,09%"
"24/03/2022","1.066,00","1.066,00","1.066,00","1.066,00","0,00K","-2,20%"
"22/03/2022","1.090,00","1.100,00","1.100,00","1.090,00","0,90K","-0,91%"
"21/03/2022","1.100,00","1.090,00","1.100,00","1.090,00","3,95K","0,00%"
"18/03/2022","1.100,00","1.093,00","1.100,00","1.093,00","0,39K","4,07%"
"17/03/2022","1.057,00","1.060,00","1.060,00","1.057,00","0,02K","0,38%"
"16/03/2022","1.053,00","1.053,00","1.053,00","1.053,00","0,04K","0,19%"
"15/03/2022","1.051,00","1.083,00","1.083,00","1.051,00","0,04K","-2,95%"
"14/03/2022","1.083,00","1.083,00","1.084,00","1.083,00","0,04K","0,00%"
"11/03/2022","1.083,00","1.040,00","1.083,00","1.040,00","0,43K","4,54%"
"10/03/2022","1.036,00","1.051,00","1.051,00","1.036,00","0,13K","-2,08%"
"09/03/2022","1.058,00","1.046,00","1.095,00","1.046,00","4,17K","1,83%"
"08/03/2022","1.039,00","1.035,00","1.039,00","1.035,00","0,09K","0,39%"
