"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/10/2022","158,00","158,00","158,00","158,00","0,00K","1,97%"
"23/09/2022","154,95","154,95","154,95","154,95","0,00K","3,99%"
"01/08/2022","149,00","149,00","149,00","149,00","0,00K","-3,81%"
"30/06/2022","154,90","154,90","154,90","154,90","0,02K","3,96%"
"31/05/2022","149,00","149,00","149,00","149,00","0,01K","0,00%"
"27/05/2022","149,00","149,00","149,00","149,00","0,00K","2,05%"
"24/02/2022","146,00","146,00","146,00","146,00","0,21K","0,00%"
"23/02/2022","146,00","146,00","146,00","146,00","0,06K","0,00%"
"22/02/2022","146,00","146,00","146,00","146,00","0,17K","0,00%"
"21/02/2022","146,00","146,00","146,00","146,00","0,01K","3,55%"
"01/02/2022","141,00","141,00","141,00","141,00","0,02K","0,21%"
"28/01/2022","140,70","140,70","140,70","140,70","0,40K","-0,50%"
"29/11/2021","141,40","141,40","141,40","141,40","0,01K","0,00%"
"19/11/2021","141,40","141,40","141,40","141,40","0,01K","3,97%"
"16/11/2021","136,00","136,00","136,00","136,00","0,40K","2,99%"
"11/11/2021","132,05","132,05","132,05","132,05","0,01K","0,00%"
"10/11/2021","132,05","132,05","132,05","132,05","0,01K","3,98%"
"01/11/2021","127,00","127,00","127,00","127,00","0,13K","0,00%"
"04/10/2021","127,00","127,00","127,00","127,00","0,01K","-1,55%"
"16/09/2021","129,00","129,00","129,00","129,00","0,02K","0,00%"
"15/09/2021","129,00","129,00","129,00","129,00","0,20K","0,00%"
"14/09/2021","129,00","129,00","129,00","129,00","0,03K","0,00%"
"13/09/2021","129,00","129,00","129,00","129,00","0,22K","0,00%"
"10/09/2021","129,00","129,00","129,00","129,00","0,19K","0,00%"
"09/09/2021","129,00","129,00","129,00","129,00","0,01K","0,00%"
"08/09/2021","129,00","129,00","129,00","129,00","0,15K","0,00%"
"06/09/2021","129,00","129,00","129,00","129,00","0,99K","-0,77%"
"30/08/2021","130,00","130,00","130,00","130,00","0,00K","0,00%"
"27/08/2021","130,00","130,00","130,00","130,00","0,01K","-1,89%"
"12/08/2021","132,50","132,50","132,50","132,50","0,01K","1,92%"
"08/07/2021","130,00","130,00","130,00","130,00","0,01K","0,00%"
"06/07/2021","130,00","130,00","130,00","130,00","0,11K","-0,95%"
"05/07/2021","131,25","131,25","131,25","131,25","0,01K","-1,98%"
"02/07/2021","133,90","133,90","133,90","133,90","0,01K","-1,98%"
"01/07/2021","136,60","136,60","136,60","136,60","0,01K","-1,97%"
"30/06/2021","139,35","139,35","139,35","139,35","0,44K","-1,97%"
"29/06/2021","142,15","142,15","142,15","142,15","0,05K","-1,97%"
"25/06/2021","145,00","145,00","145,00","145,00","30,02K","0,00%"
"23/06/2021","145,00","145,00","145,00","145,00","0,06K","-1,99%"
"22/06/2021","147,95","147,95","147,95","147,95","0,11K","-1,99%"
