"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/11/2022","79,50","79,50","79,50","79,50","0,01K","0,00%"
"02/11/2022","79,50","79,50","79,50","79,50","0,01K","-0,06%"
"01/11/2022","79,55","79,55","79,55","79,55","0,00K","-1,24%"
"31/10/2022","80,55","80,55","80,55","80,55","0,00K","-2,36%"
"23/09/2022","82,50","82,50","82,50","82,50","0,00K","2,10%"
"21/09/2022","80,80","80,80","80,80","80,80","0,01K","3,99%"
"20/09/2022","77,70","77,70","77,70","77,70","0,00K","0,91%"
"14/09/2022","77,00","77,00","77,00","77,00","0,01K","-3,39%"
"09/09/2022","79,70","79,70","79,70","79,70","0,00K","-3,98%"
"02/09/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"26/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"23/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"22/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"19/08/2022","83,00","83,00","83,00","83,00","0,00K","-3,32%"
"18/08/2022","85,85","85,85","85,85","85,85","0,00K","3,43%"
"17/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"12/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"10/08/2022","83,00","83,00","83,00","83,00","0,00K","0,00%"
"08/08/2022","83,00","83,00","83,00","83,00","0,05K","0,00%"
"02/08/2022","83,00","83,00","83,00","83,00","0,01K","3,49%"
"20/07/2022","80,20","80,20","80,20","80,20","0,09K","-3,99%"
"19/07/2022","83,53","83,53","83,53","83,53","0,01K","-3,99%"
"18/07/2022","87,00","87,00","87,00","87,00","0,00K","1,05%"
"12/07/2022","86,10","86,10","86,10","86,10","0,01K","0,00%"
"08/07/2022","86,10","86,10","86,10","86,10","0,03K","3,73%"
"06/07/2022","83,00","83,00","83,00","83,00","0,00K","1,22%"
"04/07/2022","82,00","82,00","82,00","82,00","0,01K","0,00%"
"01/07/2022","82,00","82,00","82,00","82,00","0,00K","-2,38%"
"29/06/2022","84,00","84,00","84,00","84,00","0,00K","-2,33%"
"28/06/2022","86,00","86,00","86,00","86,00","0,00K","-3,91%"
"27/06/2022","89,50","89,50","89,50","89,50","0,00K","0,00%"
"24/06/2022","89,50","89,50","89,50","89,50","0,10K","2,46%"
"23/06/2022","87,35","87,35","87,35","87,35","0,09K","3,99%"
"22/06/2022","84,00","84,00","84,00","84,00","0,01K","1,12%"
"17/06/2022","83,07","83,07","83,07","83,07","0,00K","3,99%"
"11/05/2022","79,88","79,88","79,88","79,88","0,01K","-3,76%"
"05/05/2022","83,00","83,00","83,00","83,00","0,00K","-0,23%"
"27/04/2022","83,19","83,19","83,19","83,19","0,00K","3,99%"
"15/04/2022","80,00","80,00","80,00","80,00","0,22K","-2,27%"
"14/04/2022","81,86","81,86","81,86","81,86","0,01K","-4,00%"
"30/03/2022","85,27","85,27","85,27","85,27","0,00K","3,99%"
"18/03/2022","82,00","82,00","82,00","82,00","0,01K","2,50%"
"16/03/2022","80,00","80,00","80,00","80,00","0,01K","0,00%"
"14/03/2022","80,00","80,00","80,00","80,00","0,00K","1,50%"
"07/03/2022","78,82","78,82","78,82","78,82","0,01K","-4,00%"
"03/03/2022","82,10","82,10","82,10","82,10","0,02K","-3,92%"
"02/03/2022","85,45","85,45","85,45","85,45","0,00K","-3,99%"
"28/02/2022","89,00","89,00","89,00","89,00","0,00K","0,00%"
"25/02/2022","89,00","89,00","89,00","89,00","0,00K","0,69%"
"21/02/2022","88,39","88,39","88,39","88,39","0,03K","3,99%"
"18/02/2022","85,00","85,00","85,00","85,00","0,01K","0,00%"
"16/02/2022","85,00","85,00","85,00","85,00","0,00K","-0,63%"
"15/02/2022","85,54","85,54","85,54","85,54","0,01K","-4,00%"
"14/02/2022","89,10","89,10","89,10","89,10","0,08K","-3,83%"
"10/02/2022","92,65","92,65","92,65","92,65","0,00K","-3,99%"
"07/02/2022","96,50","96,50","96,50","96,50","0,07K","2,66%"
"04/02/2022","94,00","94,00","94,00","94,00","0,09K","-2,58%"
"03/02/2022","96,49","96,49","96,49","96,49","0,05K","-3,99%"
"02/02/2022","100,50","100,50","100,50","100,50","0,01K","3,92%"
"01/02/2022","96,71","96,71","96,71","96,71","0,08K","3,99%"
"28/01/2022","93,00","93,00","93,00","93,00","0,00K","3,99%"
"27/01/2022","89,43","89,43","89,43","89,43","0,02K","3,99%"
"26/01/2022","86,00","86,00","86,00","86,00","0,15K","2,38%"
"25/01/2022","84,00","84,00","84,00","84,00","0,00K","3,70%"
"24/01/2022","81,00","81,00","81,00","81,00","0,01K","1,22%"
"13/01/2022","80,02","80,02","80,02","80,02","0,00K","3,99%"
"10/01/2022","76,95","76,95","76,95","76,95","0,00K","3,99%"
"03/01/2022","74,00","74,00","74,00","74,00","0,38K","-3,66%"
"29/12/2021","76,81","76,81","76,81","76,81","0,03K","-3,99%"
"21/12/2021","80,00","80,00","80,00","80,00","0,03K","0,00%"
"20/12/2021","80,00","80,00","80,00","80,00","0,03K","0,00%"
"15/12/2021","80,00","80,00","80,00","80,00","0,11K","-0,25%"
"14/12/2021","80,20","80,20","80,20","80,20","0,06K","-3,93%"
"13/12/2021","83,48","83,48","83,48","83,48","0,00K","-1,02%"
"10/12/2021","84,34","84,34","84,34","84,34","0,00K","-4,00%"
"09/12/2021","87,85","87,85","87,85","87,85","0,00K","-3,99%"
"08/12/2021","91,50","91,50","91,50","91,50","0,00K","0,00%"
"07/12/2021","91,50","91,50","91,50","91,50","0,02K","3,59%"
"06/12/2021","88,33","88,33","88,33","88,33","0,03K","-3,99%"
"03/12/2021","92,00","92,00","92,00","92,00","0,00K","3,37%"
